,ann_return,ann_vol,sharpe,total_return
Strategy,0.204748852117278,0.1941211493586587,0.9517193398434685,0.2045721859633569
Benchmark60/40,0.132869988960862,0.11966572226152573,0.9432106941550741,0.13400748594056533
