,ARIMA_mean,ARIMA_lower,ARIMA_upper,LSTM_mean,LSTM_lower,LSTM_upper
2025-12-02,312.68221805761783,179.8130478500032,445.5513882652325,227.50468480849403,210.6733318124117,244.33603780457636
2025-12-03,312.1426574344203,178.53194157316227,445.75337329567833,227.07673567382747,210.24538267774514,243.9080886699098
2025-12-04,311.6922255226012,177.33193085783128,446.0525201873711,226.654420768287,209.82306777220467,243.48577376436933
2025-12-05,311.50992809189614,176.39325616136654,446.62660002242575,226.2375859214239,209.40623292534156,243.06893891750622
2025-12-08,311.5285719082899,175.65127443918013,447.40586937739965,225.82607696278941,208.99472396670708,242.65742995887175
2025-12-09,311.7439664372964,175.10279623977712,448.3851366348157,225.4198238149069,208.58847081882456,242.25117681098922
2025-12-10,312.20086806727284,174.79766030498396,449.6040758295617,225.01879844678564,208.1874454507033,241.85015144286797
2025-12-11,312.73713049533916,174.57524555767029,450.899015433008,224.6227625950049,207.79140959892257,241.45411559108723
2025-12-12,313.42995836699856,174.51710070872284,452.34281602527426,224.23178633704137,207.40043334095904,241.0631393331237
2025-12-15,314.106153503861,174.45246265065566,453.7598443570663,223.84568747145565,207.01433447537332,240.67704046753798
2025-12-16,314.7633727358171,174.3804718645571,455.1462736070771,223.46436788978036,206.63301489369803,240.2957208858627
2025-12-17,315.3412157408297,174.24308776936314,456.43934371229625,223.08774349904348,206.25639050296115,239.9190964951258
2025-12-18,315.7353627891176,173.93480000094763,457.5359255772875,222.71582831474035,205.88447531865802,239.54718131082268
2025-12-19,316.00209382484485,173.5125087494282,458.4916789002615,222.34842611993622,205.5170731238539,239.17977911601855
2025-12-22,316.0217672359366,172.8542540485443,459.18928042332885,221.98549486814508,205.15414187206275,238.8168478642274
2025-12-23,315.87896294916254,172.04268832425947,459.7152375740656,221.62700652837626,204.79565353229393,238.4583595244586
2025-12-24,315.54537577352033,171.0473390688818,460.04341247815887,221.27277889919034,204.441425903108,238.10413189527267
2025-12-25,315.05551642193484,169.89908332872304,460.21194951514667,220.92285402707336,204.09150103099103,237.7542070231557
2025-12-26,314.49860305276763,168.68543365558688,460.3117724499484,220.57706372608124,203.7457107299989,237.40841672216357
2025-12-29,313.85908715550914,167.38741998024756,460.33075433077073,220.23536594972796,203.40401295364563,237.0667189458103
2025-12-30,313.27217040744154,166.13883568021762,460.4055051346654,219.89773266702284,203.0663796709405,236.72908566310517
2025-12-31,312.7285998836365,164.92889675056583,460.5283030167071,219.56406576949854,202.7327127734162,236.39541876558087
2026-01-01,312.31112735110753,163.8393966159881,460.78285808622695,219.23433722616437,202.40298423008204,236.0656902222467
2026-01-02,312.0557649396747,162.90714182498837,461.20438805436106,218.90837885107626,202.07702585499393,235.7397318471586
2026-01-05,311.95069734852086,162.12042064540216,461.78097405163953,218.5862186752249,201.75486567914257,235.41757167130723
2026-01-06,312.0545428288329,161.54013160148511,462.5689540561807,218.26780063662892,201.4364476405466,235.09915363271125
2026-01-07,312.2960699181709,161.0966385288332,463.49550130750856,217.95301261132562,201.1216596152433,234.78436560740795
2026-01-08,312.69742228585363,160.8145391195484,464.5803054521589,217.641854599315,200.81050160323267,234.47320759539733
2026-01-09,313.1928312230061,160.63070413876054,465.75495830725174,217.334200461139,200.50284746505667,234.16555345722134
2026-01-12,313.7342912477514,160.49884333485466,466.96973916064815,217.03007822778832,200.198725231706,233.86143122387065
2026-01-13,314.2958305310293,160.39540505728542,468.1962560047732,216.72934774430956,199.89799474822723,233.5607007403919
2026-01-14,314.7855596879303,160.22923104211068,469.3418883337499,216.4319669642167,199.60061396813438,233.26331996029904
2026-01-15,315.2040102631153,160.00180877274963,470.406211753481,216.1379499030051,199.30659690692278,232.96930289908744
2026-01-16,315.4784340461839,159.64024472062923,471.3166233717386,215.84715640572136,199.01580340963903,232.6785094018037
2026-01-19,315.60615514066814,159.14096618417517,472.0713440971611,215.55961450335616,198.72826150727383,232.3909674994385
2026-01-20,315.5793331040754,158.4952185737607,472.6634476343901,215.27524010293746,198.44388710685513,232.1065930990198
2026-01-21,315.3846905183144,157.68758597293024,473.08179506369856,214.9939771424839,198.16262414640158,231.82533013856624
2026-01-22,315.0743465978781,156.76860873068955,473.38008446506666,214.71572751352815,197.88437451744582,231.54708050961048
